name,person,street,zip,city,canton,phone,website,source_count,sources,url
Fourtwenty Trendshop,Mosimann Michael,Kramgasse 3,3011,Bern,BE,031 311 40 18,,4,search.ch:cbd; search.ch:grow shop; search.ch:growshop; search.ch:head shop,https://tel.search.ch/bern/kramgasse-3/fourtwenty-trendshop
CBD Green Planet Grow Shop,Matériel pour la Culture et CBD,Rue Centrale 13,1880,Bex,VD,079 151 99 66,,3,search.ch:cbd; search.ch:grow shop; search.ch:growshop,https://tel.search.ch/bex/rue-centrale-13/cbd-green-planet-grow-shop
Fourtwenty GmbH,Michael Mosimann,Worblentalstrasse 30,3063,Ittigen,BE,031 371 03 07,,3,search.ch:grow shop; search.ch:growshop; search.ch:head shop,https://tel.search.ch/ittigen/worblentalstrasse-30/fourtwenty-gmbh
HEMP Basement,Verkauf,Bahnhofstrasse 5,8590,Romanshorn,TG,077 283 48 26,,3,search.ch:grow shop; search.ch:growshop; search.ch:head shop,https://tel.search.ch/romanshorn/bahnhofstrasse-5/hemp-basement
Smoketown Wil GmbH,Marco Rupp,Lerchenfeldstrasse 11,9500,Wil,SG,071 910 07 71,,3,search.ch:grow shop; search.ch:growshop; search.ch:head shop,https://tel.search.ch/wil/lerchenfeldstrasse-11/smoketown-wil-gmbh
Auto Chiesa SA,Consulenza vendita e riparazione,Via Cantonale 38,6595,Riazzino,TI,091 850 50 20,,2,search.ch:grow shop; search.ch:head shop,https://tel.search.ch/riazzino/via-cantonale-38/auto-chiesa-sa
CANNASMART.CH,Le meilleur du CBD,Route de l'Ancienne-Papeterie 190,1723,Marly,FR,026 551 00 09,,2,search.ch:cbd; search.ch:grow shop,https://tel.search.ch/marly/route-de-lancienne-papeterie-190/cannasmart-ch
DOMAINE DES LOVERESSES,Cornu Philippe,Route de l'Etraz 1,1169,Yens,VD,021 800 38 17,,2,search.ch:grow shop; search.ch:head shop,https://tel.search.ch/yens/route-de-letraz-1/domaine-des-loveresses
Grow & Garden,CBD Shop - GROW Shop,Via Dufour 3,6900,Lugano,TI,079 445 39 81,,2,search.ch:grow shop; search.ch:growshop,https://tel.search.ch/lugano/via-dufour-3/grow-garden
GrowTastic GmbH,"Quarti, Sabrina",Von May-Strasse 39a,3604,Thun,BE,033 845 00 00,,2,search.ch:grow shop; search.ch:growshop,https://tel.search.ch/thun/von-may-strasse-39a/growtastic-gmbh
Gruber Mändli's CBD + Headshop,Gruber Roman,Bahnhofstrasse 1,9443,Widnau,SG,071 722 03 03,,2,search.ch:cbd; search.ch:head shop,https://tel.search.ch/widnau/bahnhofstrasse-1/gruber-maendlis-cbd-headshop
Grünhaus AG,Gärtnereiartikel,Herostrasse 7,8048,Zürich,ZH,043 343 06 63,,2,search.ch:grow shop; search.ch:growshop,https://tel.search.ch/zuerich/herostrasse-7/gruenhaus-ag
Jungle Grow Shop / Jungle-Boost GmbH,,Hauptstrasse 49,2563,Ipsach,BE,032 331 12 59,,2,search.ch:grow shop; search.ch:growshop,https://tel.search.ch/ipsach/hauptstrasse-49/jungle-grow-shop-jungle-boost-gmbh
La Feuille d'Or,grow et head shop,Rue de la Corsaz 15,1820,Montreux,VD,021 963 35 25,,2,search.ch:grow shop; search.ch:head shop,https://tel.search.ch/montreux/rue-de-la-corsaz-15/la-feuille-dor
MeO-LaB GmbH,"Prodotti CBD naturali: Fiori CBD, Resine CBD pure, Vaporizzatori e accessori per benessere e relax",Via Monte Ceneri 42,6572,Quartino,TI,079 359 67 58,,2,search.ch:grow shop; search.ch:growshop,https://tel.search.ch/quartino/via-monte-ceneri-42/meo-lab-gmbh
Mystic Shop / Studio Piercing e Tattoo,Smokeshop Growshop e-sigarette,Corso Elvezia 13,6900,Lugano,TI,091 922 75 91,,2,search.ch:grow shop; search.ch:growshop,https://tel.search.ch/lugano/corso-elvezia-13/mystic-shop-studio-piercing-e-tattoo
Zauber - Blüten Grow & Head Shop,CBD Hanf,Schellenhausstrasse 4,5620,Bremgarten,AG,076 339 06 95,,2,search.ch:grow shop; search.ch:head shop,https://tel.search.ch/bremgarten/schellenhausstrasse-4/zauber-blueten-grow-head-shop
Adams CBD Shop,,Steinenvorstadt 33,4051,Basel,BS,061 271 18 88,,1,search.ch:cbd,https://tel.search.ch/basel/steinenvorstadt-33/adams-cbd-shop
Aléria Coiffure Institut Capillaire,,Rue du Trésor 9,2000,Neuchâtel,NE,032 725 15 24,,1,search.ch:head shop,https://tel.search.ch/neuchatel/rue-du-tresor-9/aleria-coiffure-institut-capillaire
Armeria Blockhouse Sagl,"Cuccu, Paolo Raimondo",Al Gagiurasc 12,6528,Camorino,TI,091 225 15 05,,1,search.ch:grow shop,https://tel.search.ch/camorino/al-gagiurasc-12/armeria-blockhouse-sagl
Arvi SA,Commercio Vini Rari e Pregiati,Via Pedemonte di Sopra 1,6818,Melano,TI,091 649 68 88,,1,search.ch:head shop,https://tel.search.ch/melano/via-pedemonte-di-sopra-1/arvi-sa
atelier M12,,Route de Grallard 15B,1867,Ollon,VD,076 823 15 93,,1,search.ch:head shop,https://tel.search.ch/ollon/route-de-grallard-15b/atelier-m12
Basler Kindernäscht,,Gerbergasse 14,4001,Basel,BS,061 261 49 39,,1,search.ch:grow shop,https://tel.search.ch/basel/gerbergasse-14/basler-kindernaescht
BergBlüten / Hanfpfoten CBD-Shop,Beratung und Vertrieb von eigens hergestellten CBD-Produkten nach schweizer Qualität ohne Pestizide,Kanalweg 38,8866,Ziegelbrücke,GL,031 332 15 15,,1,search.ch:cbd,https://tel.search.ch/ziegelbruecke/kanalweg-38/bergblueten-hanfpfoten-cbd-shop
BergBlüten AG Zweigniederlassung,Beratung und Vertrieb von eigens hergestellten CBD-Produkten nach schweizer Qualität ohne Pestizide,Kantonsstrasse 99,3952,Susten,VS,031 332 15 15,,1,search.ch:cbd,https://tel.search.ch/susten/kantonsstrasse-99/bergblueten-ag-zweigniederlassung
Bike & Skisport Sigriswil,Stauffer Daniel / Peter Stauffer,Endorfstrasse 5,3655,Sigriswil,BE,033 251 20 66,,1,search.ch:head shop,https://tel.search.ch/sigriswil/endorfstrasse-5/bike-skisport-sigriswil
Bio Top Center GmbH,"Head Growshop, Minigrips, Bongs, Homeboxsysteme, Rasta- und Hanftextilien",Konradstrasse 28,8005,Zürich,ZH,044 272 71 21,,1,search.ch:growshop,https://tel.search.ch/zuerich/konradstrasse-28/bio-top-center-gmbh
Bischofberger Gardening,"Growshop, Headshop und CBD",Oststrasse 25,9000,St. Gallen,SG,076 815 43 21,,1,search.ch:growshop,https://tel.search.ch/st-gallen/oststrasse-25/bischofberger-gardening
Blondie Coiffeur by Ana Gomes,,Promenadestrasse 2,5330,Bad Zurzach,AG,079 959 07 11,,1,search.ch:head shop,https://tel.search.ch/bad-zurzach/promenadestrasse-2/blondie-coiffeur-by-ana-gomes
BLOW CBD GmbH,,Neuenackerweg 8,4203,Grellingen,BL,,,1,search.ch:cbd,https://tel.search.ch/grellingen/neuenackerweg-8/blow-cbd-gmbh
Boulangerie Pâtisserie Tea Room Lheritier,David Lhéritier,Route de Lausanne 3,1032,Romanel-sur-Lausanne,VD,,,1,search.ch:grow shop,https://tel.search.ch/romanel-sur-lausanne/route-de-lausanne-3/boulangerie-patisserie-tea-room-lheritier
Budosport Nippon AG,Sportartikelhandel Kampfsport & Boxen,Rolandstrasse 15,8004,Zürich,ZH,044 241 54 66,,1,search.ch:head shop,https://tel.search.ch/zuerich/rolandstrasse-15/budosport-nippon-ag
C. Girard High Grade Swiss CBD,,Route de la Parqueterie 7,1680,Romont,FR,,,1,search.ch:cbd,https://tel.search.ch/romont/route-de-la-parqueterie-7/c-girard-high-grade-swiss-cbd
Cannaliz - Huile de CBD,CBD oil Switzerland Huile de CBD avec ratio THC,Rue Schaub 9,1202,Genève,GE,077 434 45 49,,1,search.ch:cbd,https://tel.search.ch/geneve/rue-schaub-9/cannaliz-huile-de-cbd
CARROSSERIE DENERVAUD Sàrl,Stéphane Dénervaud,Route des Molleyres 18,1744,Chénens,FR,026 477 21 08,,1,search.ch:head shop,https://tel.search.ch/chenens/route-des-molleyres-18/carrosserie-denervaud-sarl
Carrosserie Kompetenz Center Lyss AG,,Werkstrasse 57,3250,Lyss,BE,032 387 00 40,,1,search.ch:grow shop,https://tel.search.ch/lyss/werkstrasse-57/carrosserie-kompetenz-center-lyss-ag
Carrozzeria Marchio Sagl,Marchio Iapico,Via San Gottardo 84,6500,Bellinzona,TI,091 825 36 36,,1,search.ch:head shop,https://tel.search.ch/bellinzona/via-san-gottardo-84/carrozzeria-marchio-sagl
CBD Brothers Reichmuth,,Gwattstrasse 151,3645,Gwatt (Thun),BE,078 406 07 25,,1,search.ch:cbd,https://tel.search.ch/gwatt/gwattstrasse-151/cbd-brothers-reichmuth
CBD Chur Canna Culture,Carma Welschinger,Obere Gasse 39,7000,Chur,GR,079 910 00 19,,1,search.ch:cbd,https://tel.search.ch/chur/obere-gasse-39/cbd-chur-canna-culture
CBD Flowers Snc,,Chemin du Galetas 12,1132,Lully,VD,,,1,search.ch:cbd,https://tel.search.ch/lully/chemin-du-galetas-12/cbd-flowers-snc
CBD Guru GmbH,,Bifang 3,4625,Oberbuchsiten,SO,062 508 50 17,,1,search.ch:cbd,https://tel.search.ch/oberbuchsiten/bifang-3/cbd-guru-gmbh
CBD KINGZ,,Avenue de la Gottaz 28,1110,Morges,VD,079 397 94 27,,1,search.ch:cbd,https://tel.search.ch/morges/avenue-de-la-gottaz-28/cbd-kingz
CBD Manufaktur GmbH,,Oltnerstrasse 42,5012,Schönenwerd,SO,076 722 25 60,,1,search.ch:cbd,https://tel.search.ch/schoenenwerd/oltnerstrasse-42/cbd-manufaktur-gmbh
CBD MED Schweiz Handels GmbH,Andrin Dünner,Seestrasse 113A,9326,Horn,TG,052 366 89 18,,1,search.ch:cbd,https://tel.search.ch/horn/seestrasse-113a/cbd-med-schweiz-handels-gmbh
"CBD plus, Michael Reijnhoudt",,Route des Creux 6,1936,Verbier,VS,,,1,search.ch:cbd,https://tel.search.ch/verbier/route-des-creux-6/cbd-plus-michael-reijnhoudt
CBD Shop Zürich & Schweiz – Bio CBD Öl & Blüten kaufen Vapor Spirit,"Pafis, • Vitaljoy GmbH Alex",Rosengartenstrasse 3,8037,Zürich,ZH,076 366 54 54,,1,search.ch:cbd,https://tel.search.ch/zuerich/rosengartenstrasse-3/cbd-shop-zuerich-schweiz-bio-cbd-oel-blueten-kaufen-vapor-spirit
CBD STAR GmbH,,Rössligasse 2A,8180,Bülach,ZH,076 606 10 00,,1,search.ch:cbd,https://tel.search.ch/buelach/roessligasse-2a/cbd-star-gmbh
CBD Swissmade Sàrl,,Route de Lausanne 20,1610,Oron-la-Ville,VD,079 869 58 62,,1,search.ch:cbd,https://tel.search.ch/oron-la-ville/route-de-lausanne-20/cbd-swissmade-sarl
CBD Tupalka MED,,Chemin des Fleurettes 2,1854,Leysin,VD,076 239 26 41,,1,search.ch:cbd,https://tel.search.ch/leysin/chemin-des-fleurettes-2/cbd-tupalka-med
Chaplin's World,By Grevin SA,Route de Fenil 2,1804,Corsier-sur-Vevey,VD,0842 422 422,,1,search.ch:head shop,https://tel.search.ch/corsier-sur-vevey/route-de-fenil-2/chaplins-world
CHIOSCO CENTRO LUGANO,Crotta Renata e Gianella Linda,Via Maria Luisa Albrizzi 1,6900,Lugano,TI,091 923 51 70,,1,search.ch:cbd,https://tel.search.ch/lugano/via-maria-luisa-albrizzi-1/chiosco-centro-lugano
Coiffeur HEAD CASE,,Zürichstrasse 1,6004,Luzern,LU,041 211 00 00,,1,search.ch:head shop,https://tel.search.ch/luzern/zuerichstrasse-1/coiffeur-head-case
Coin d'Alma Sàrl,,Chemin de Castelver 2,1255,Veyrier,GE,022 784 15 95,,1,search.ch:cbd,https://tel.search.ch/veyrier/chemin-de-castelver-2/coin-dalma-sarl-2
Curchod AG,Werkzeugtechnik,Rapperswilerstrasse 10,8630,Rüti,ZH,055 251 20 80,,1,search.ch:head shop,https://tel.search.ch/rueti/rapperswilerstrasse-10/curchod-ag
Dampferchef E-Zigarette|Headshop|Snus|Shisha,E-Zigaretten-Shop,Webergasse 33,8200,Schaffhausen,SH,052 551 00 51,,1,search.ch:head shop,https://tel.search.ch/schaffhausen/webergasse-33/dampferchef-e-zigarette-headshop-snus-shisha
Delea Angelo SA,,Via Zandone 11,6616,Losone,TI,091 791 08 17,,1,search.ch:grow shop,https://tel.search.ch/losone/via-zandone-11/delea-angelo-sa
Der Hollaender.ch,Growshop & Headshop,Sagihof 4,6043,Adligenswil,LU,041 534 47 49,,1,search.ch:growshop,https://tel.search.ch/adligenswil/sagihof-4/der-hollaender-ch
DigiUs AG,Ricoh Printing- und DMS Lösungen für KMUs,Pfäffikonerstrasse 3,8834,Schindellegi,SZ,055 511 22 91,,1,search.ch:head shop,https://tel.search.ch/schindellegi/pfaeffikonerstrasse-3/digius-ag
Discountvape,Luis Sergio,Place de la Fontaine 4,2034,Peseux,NE,032 552 99 55,,1,search.ch:cbd,https://tel.search.ch/peseux/place-de-la-fontaine-4/discountvape
Dudes Garten,"CBD, Headshop und Growshop",Oststrasse 25,9000,St. Gallen,SG,024 521 78 35,,1,search.ch:growshop,https://tel.search.ch/st-gallen/oststrasse-25/dudes-garten
Dudes Garten Growshop,Roman Bischofberger,Flurhofstrasse 158C,9000,St. Gallen,SG,024 521 78 35,,1,search.ch:growshop,https://tel.search.ch/st-gallen/flurhofstrasse-158c/dudes-garten-growshop
Dätwyler Sports,,Avenue Centrale 146,1884,Villars-sur-Ollon,VD,024 495 23 85,,1,search.ch:head shop,https://tel.search.ch/villars-sur-ollon/avenue-centrale-146/daetwyler-sports
ELEVEN Formation Esthétique,"Sansovini, Roxane",Quai du Mont-Blanc 25,1201,Genève,GE,079 810 89 65,,1,search.ch:head shop,https://tel.search.ch/geneve/quai-du-mont-blanc-25/eleven-formation-esthetique
Elisabeth Boss,Une enseigne de Charles-Emile Moinat & Fils SA,Grand-Rue 90,1180,Rolle,VD,021 310 06 40,,1,search.ch:head shop,https://tel.search.ch/rolle/grand-rue-90/elisabeth-boss
Elite growshop di Vorbach,,Via Ceresio di Suvigliana 15,6977,Ruvigliana,TI,,,1,search.ch:growshop,https://tel.search.ch/ruvigliana/via-ceresio-di-suvigliana-15/elite-growshop-di-vorbach
Evapify Switzerland SA,,Route des Jeunes 4BIS,1227,Les Acacias,GE,022 360 25 25,,1,search.ch:cbd,https://tel.search.ch/les-acacias/route-des-jeunes-4bis/evapify-switzerland-sa
Evetica.ch,Michael Evetica,Boulevard de Saint-Georges 13,1205,Genève,GE,078 627 00 58,,1,search.ch:cbd,https://tel.search.ch/geneve/boulevard-de-saint-georges-13/evetica-ch
Fankhauser AG Landmaschinen & Service,"Verkauf, Service, Reparatur von Traktoren, Land-, Forst- u. Kommunalmaschinen, Kleingeräten, etc.",Haltestelle 173a,4955,Gondiswil,BE,062 962 30 30,,1,search.ch:grow shop,https://tel.search.ch/gondiswil/haltestelle-173a/fankhauser-ag-landmaschinen-service
First Class CBD (Schweiz) GmbH,CBD-Produkte: CBD-Öle und CBD-Blüten - echte Schweizer Qualität,Ruopigenring 91,6015,Luzern,LU,041 418 50 60,,1,search.ch:cbd,https://tel.search.ch/luzern/ruopigenring-91/first-class-cbd-gmbh
Fleur au Lac GmbH,,Birmensdorferstrasse 174,8003,Zürich,ZH,043 321 21 21,,1,search.ch:grow shop,https://tel.search.ch/zuerich/birmensdorferstrasse-174/fleur-au-lac-gmbh
Fourtwenty Fribourg,,Rue de Romont 10,1700,Fribourg,FR,034 422 42 95,,1,search.ch:cbd,https://tel.search.ch/fribourg/rue-de-romont-10/fourtwenty-fribourg-2
FUX WALLISER APRIKOSEN,ein Geschäftsbereich der APRIVAL GmbH,Hauptstrasse 103,3945,Niedergampel,VS,079 300 50 82,,1,search.ch:grow shop,https://tel.search.ch/niedergampel/hauptstrasse-103/fux-walliser-aprikosen
